run,batch_size,step,tokens_seen,valid_loss,wall_s
bs16_20k,16,500,2048000,2.903703,21.96
bs16_20k,16,1000,4096000,2.546312,43.96
bs16_20k,16,1500,6144000,2.315899,65.91
bs16_20k,16,2000,8192000,2.220009,87.88
bs16_20k,16,2500,10240000,2.11922,110.17
bs16_20k,16,3000,12288000,2.063853,132.14
bs16_20k,16,3500,14336000,1.988904,154.15
bs16_20k,16,4000,16384000,1.950632,175.95
bs16_20k,16,4500,18432000,1.945315,198.09
bs16_20k,16,5000,20480000,1.888794,219.87
bs16_20k,16,5500,22528000,1.935682,241.86
bs16_20k,16,6000,24576000,1.840864,263.73
bs16_20k,16,6500,26624000,1.817256,286.04
bs16_20k,16,7000,28672000,1.812178,307.91
bs16_20k,16,7500,30720000,1.785078,329.85
bs16_20k,16,8000,32768000,1.759386,351.77
bs16_20k,16,8500,34816000,1.778698,374.05
bs16_20k,16,9000,36864000,1.748818,396.02
bs16_20k,16,9500,38912000,1.722401,417.98
bs16_20k,16,10000,40960000,1.718106,439.99
bs16_20k,16,10500,43008000,1.695488,462.16
bs16_20k,16,11000,45056000,1.738639,484.12
bs16_20k,16,11500,47104000,1.655702,506.13
bs16_20k,16,12000,49152000,1.705081,528.09
bs16_20k,16,12500,51200000,1.683458,550.36
bs16_20k,16,13000,53248000,1.663357,572.35
bs16_20k,16,13500,55296000,1.619513,594.31
bs16_20k,16,14000,57344000,1.659539,616.32
bs16_20k,16,14500,59392000,1.64485,638.56
bs16_20k,16,15000,61440000,1.61929,660.53
bs16_20k,16,15500,63488000,1.618723,682.38
bs16_20k,16,16000,65536000,1.647194,704.29
bs16_20k,16,16500,67584000,1.585561,726.51
bs16_20k,16,17000,69632000,1.602902,748.43
bs16_20k,16,17500,71680000,1.629128,770.35
bs16_20k,16,18000,73728000,1.619641,792.26
bs16_20k,16,18500,75776000,1.539217,814.5
bs16_20k,16,19000,77824000,1.577116,836.41
bs16_20k,16,19500,79872000,1.579483,858.1
bs16_20k,16,20000,81920000,1.567317,880.0
tinystories_ba,32,500,4096000,2.692309,42.87
tinystories_ba,32,1000,8192000,2.303522,83.87
tinystories_ba,32,1500,12288000,2.088332,124.2
tinystories_ba,32,2000,16384000,1.9735,164.34
tinystories_ba,32,2500,20480000,1.91381,205.03
tinystories_ba,32,3000,24576000,1.853399,245.18
tinystories_ba,32,3500,28672000,1.825592,285.33
tinystories_ba,32,4000,32768000,1.78225,325.48
tinystories_ba,32,4500,36864000,1.759747,366.13
tinystories_ba,32,5000,40960000,1.722354,406.26
tinystories_ba,32,5500,45056000,1.726821,446.38
tinystories_ba,32,6000,49152000,1.711317,486.5
tinystories_ba,32,6500,53248000,1.691583,528.0
tinystories_ba,32,7000,57344000,1.670935,617.03
tinystories_ba,32,7500,61440000,1.642534,705.1
tinystories_ba,32,8000,65536000,1.649198,792.91
tinystories_ba,32,8500,69632000,1.63717,880.6
tinystories_ba,32,9000,73728000,1.60864,967.38
tinystories_ba,32,9500,77824000,1.601479,1054.78
tinystories_ba,32,10000,81920000,1.573406,1141.95
tinystories_ba,32,10500,86016000,1.576305,1228.17
tinystories_ba,32,11000,90112000,1.546866,1312.31
tinystories_ba,32,11500,94208000,1.558557,1396.17
tinystories_ba,32,12000,98304000,1.557853,1480.05
tinystories_ba,32,12500,102400000,1.550489,1564.2
tinystories_ba,32,13000,106496000,1.53859,1648.36
tinystories_ba,32,13500,110592000,1.513852,1732.59
tinystories_ba,32,14000,114688000,1.491738,1817.23
tinystories_ba,32,14500,118784000,1.518386,1901.57
tinystories_ba,32,15000,122880000,1.497592,1985.64
tinystories_ba,32,15500,126976000,1.503496,2069.52
tinystories_ba,32,16000,131072000,1.487733,2153.02
tinystories_ba,32,16500,135168000,1.480935,2236.2
tinystories_ba,32,17000,139264000,1.474229,2319.32
tinystories_ba,32,17500,143360000,1.473779,2402.45
tinystories_ba,32,18000,147456000,1.459029,2485.74
tinystories_ba,32,18500,151552000,1.457061,2568.93
tinystories_ba,32,19000,155648000,1.474378,2652.17
tinystories_ba,32,19500,159744000,1.470265,2735.38
tinystories_ba,32,20000,163840000,1.481843,2818.52
bs64_20k,64,500,8192000,2.499678,77.38
bs64_20k,64,1000,16384000,2.09739,155.79
bs64_20k,64,1500,24576000,1.908216,234.3
bs64_20k,64,2000,32768000,1.823084,312.76
bs64_20k,64,2500,40960000,1.746559,391.54
bs64_20k,64,3000,49152000,1.72168,470.08
bs64_20k,64,3500,57344000,1.678612,548.59
bs64_20k,64,4000,65536000,1.669714,627.03
bs64_20k,64,4500,73728000,1.657596,705.78
bs64_20k,64,5000,81920000,1.600565,784.25
bs64_20k,64,5500,90112000,1.603371,862.74
bs64_20k,64,6000,98304000,1.580049,941.19
bs64_20k,64,6500,106496000,1.560948,1019.97
bs64_20k,64,7000,114688000,1.533531,1098.46
bs64_20k,64,7500,122880000,1.541096,1176.94
bs64_20k,64,8000,131072000,1.508462,1255.43
bs64_20k,64,8500,139264000,1.504816,1334.21
bs64_20k,64,9000,147456000,1.478141,1412.69
bs64_20k,64,9500,155648000,1.494373,1491.21
bs64_20k,64,10000,163840000,1.487437,1569.72
bs64_20k,64,10500,172032000,1.456752,1648.52
bs64_20k,64,11000,180224000,1.463443,1727.0
bs64_20k,64,11500,188416000,1.444458,1805.48
bs64_20k,64,12000,196608000,1.459819,1883.95
bs64_20k,64,12500,204800000,1.434036,1962.69
bs64_20k,64,13000,212992000,1.439081,2041.13
bs64_20k,64,13500,221184000,1.409549,2119.58
bs64_20k,64,14000,229376000,1.427672,2198.02
bs64_20k,64,14500,237568000,1.4081,2276.8
bs64_20k,64,15000,245760000,1.408835,2355.24
bs64_20k,64,15500,253952000,1.409404,2433.66
bs64_20k,64,16000,262144000,1.407089,2512.11
bs64_20k,64,16500,270336000,1.39656,2590.85
bs64_20k,64,17000,278528000,1.38642,2669.25
bs64_20k,64,17500,286720000,1.385263,2747.71
bs64_20k,64,18000,294912000,1.392856,2826.18
bs64_20k,64,18500,303104000,1.381403,2904.94
bs64_20k,64,19000,311296000,1.370895,2983.58
bs64_20k,64,19500,319488000,1.374325,3062.15
bs64_20k,64,20000,327680000,1.383309,3140.58
