run,schedule,max_lr,min_lr,warmup,step,lr,tokens_seen,valid_loss,delta_vs_ba
tinystories_ba,cosine,0.0003,3e-05,200,2000,0.0002945375845047096,16384000,1.9735,
tinystories_ba,cosine,0.0003,3e-05,200,5000,0.0002627188753721329,40960000,1.722354,
tinystories_ba,cosine,0.0003,3e-05,200,10000,0.00016716332234437988,81920000,1.573406,
tinystories_ba,cosine,0.0003,3e-05,200,15000,7.031615722505998e-05,122880000,1.497592,
tinystories_ba,cosine,0.0003,3e-05,200,20000,3.0000001699312058e-05,163840000,1.481843,0.0
const_lr_3e4_20k,constant,0.0003,0.0003,200,2000,0.0003,16384000,2.001823,
const_lr_3e4_20k,constant,0.0003,0.0003,200,5000,0.0003,40960000,1.732164,
const_lr_3e4_20k,constant,0.0003,0.0003,200,10000,0.0003,81920000,1.625248,
const_lr_3e4_20k,constant,0.0003,0.0003,200,15000,0.0003,122880000,1.587453,
const_lr_3e4_20k,constant,0.0003,0.0003,200,20000,0.0003,163840000,1.502048,0.020204
