step,total,seconds_per_merge,affected,freq
1,31743,6.21,101535,195000000.0
2,31743,6.75,218446,187000000.0
3,31743,11.48,564025,174000000.0
4,31743,22.18,391111,126000000.0
5,31743,21.97,10230,120000000.0
6,31743,14.82,459474,118000000.0
7,31743,18.53,631850,109000000.0
8,31743,23.05,136539,106000000.0
9,31743,16.91,31110,95600000.0
10,31743,12.17,375551,92100000.0
11,31743,17.17,39449,87300000.0
12,31743,13.27,401549,82300000.0
13,31743,19.48,101625,78500000.0
14,31743,15.33,255893,76800000.0
15,31743,13.99,297332,74100000.0
16,31743,12.6,559325,73400000.0
17,31743,21.68,299421,71800000.0
18,31743,18.55,72590,70400000.0
19,31743,14.02,323446,68400000.0
20,31743,23.31,173121,68300000.0
21,31743,18.23,54386,67600000.0
22,31743,13.54,169104,67300000.0
23,31743,10.85,109034,66600000.0
24,31743,8.92,156623,62500000.0
25,31743,9.06,15715,60800000.0
26,31743,6.78,345249,59400000.0
27,31743,8.19,7893,59200000.0
28,31743,6.97,407929,58100000.0
29,31743,21.75,85910,55900000.0
30,31743,17.57,28637,55300000.0
31,31743,13.29,4340,55000000.0
32,31743,9.37,37630,49100000.0
33,31743,9.37,77551,49100000.0
34,31743,7.37,18947,47000000.0
35,31743,6.07,233401,47000000.0
36,31743,5.79,251993,46600000.0
37,31743,6.92,3164,46500000.0
38,31743,5.99,7142,45600000.0
39,31743,4.34,215876,43700000.0
40,31743,6.12,150365,40200000.0
41,31743,7.73,125096,40100000.0
42,31743,6.59,144201,32900000.0
43,31743,14.98,93965,32700000.0
44,31743,11.4,47813,31500000.0
45,31743,11.39,37724,31100000.0
46,31743,8.82,34527,30600000.0
47,31743,8.41,159000,30200000.0
48,31743,26.03,69218,29400000.0
49,31743,20.23,37099,28500000.0
50,31743,15.54,65824,28500000.0
51,31743,11.48,172298,27600000.0
52,31743,10.79,8823,27500000.0
53,31743,7.76,47549,27400000.0
54,31743,6.1,121085,27000000.0
55,31743,7.14,93533,25100000.0
56,31743,10.43,167486,25000000.0
57,31743,9.13,118572,24800000.0
58,31743,8.38,126178,24000000.0
59,31743,8.99,57708,23100000.0
60,31743,9.84,1095,23000000.0
61,31743,7.18,4579,22900000.0
62,31743,5.09,85312,22500000.0
63,31743,5.55,237212,22100000.0
64,31743,6.42,5145,22100000.0
65,31743,5.98,179270,21800000.0
66,31743,5.98,110307,21800000.0
67,31743,5.08,194317,21700000.0
68,31743,28.96,152862,21400000.0
69,31743,23.27,67970,21300000.0
70,31743,17.83,73847,20800000.0
71,31743,15.15,103159,20800000.0
72,31743,11.37,4298,20700000.0
73,31743,8.8,3163,20600000.0
74,31743,6.62,148074,20000000.0
75,31743,6.51,53275,19900000.0
76,31743,5.87,118596,18900000.0
77,31743,9.18,61537,18900000.0
78,31743,7.16,51581,18900000.0
79,31743,5.7,155614,18600000.0
80,31743,5.89,31878,18300000.0
81,31743,6.7,17794,18100000.0
82,31743,5.62,9006,17600000.0
83,31743,5.9,2155,17300000.0
84,31743,4.67,9146,17100000.0
85,31743,4.78,90240,16200000.0
86,31743,7.43,50484,16200000.0
87,31743,6.09,17075,16000000.0
88,31743,5.48,3181,15800000.0
89,31743,4.35,172953,15700000.0
90,31743,4.54,49697,15500000.0
91,31743,6.28,72091,15200000.0
92,31743,6.31,130024,15000000.0
93,31743,6.94,4046,14900000.0
94,31743,5.08,122497,14800000.0
95,31743,5.97,1367,14500000.0
96,31743,6.0,6038,14300000.0
97,31743,5.58,150044,14000000.0
98,31743,6.42,142451,13900000.0
99,31743,6.83,42996,13600000.0
100,31743,6.55,60891,13200000.0
101,31743,7.89,135923,12600000.0
102,31743,8.72,938,12600000.0
103,31743,7.42,59715,12500000.0
104,31743,35.23,1246,12500000.0
105,31743,24.78,56259,12400000.0
106,31743,18.69,3005,12300000.0
107,31743,13.89,13472,12000000.0
108,31743,10.9,16858,11700000.0
109,31743,8.68,27155,11600000.0
110,31743,7.07,35570,11500000.0
111,31743,6.1,5,11500000.0
112,31743,4.77,47128,11500000.0
113,31743,5.43,109441,11300000.0
114,31743,6.15,4622,11300000.0
115,31743,5.88,3820,11000000.0
116,31743,5.83,62774,10900000.0
117,31743,4.68,9462,10800000.0
118,31743,5.04,91641,10700000.0
119,31743,5.47,32362,10700000.0
120,31743,5.16,10540,10700000.0
121,31743,4.21,83951,10600000.0
122,31743,4.07,47311,10600000.0
123,31743,4.28,22327,10500000.0
124,31743,4.66,70918,10400000.0
125,31743,4.5,1006,10400000.0
126,31743,3.45,112722,10300000.0
127,31743,3.37,32366,10200000.0
128,31743,4.32,105634,10200000.0
129,31743,3.82,51299,10200000.0
130,31743,3.25,68142,10100000.0
131,31743,3.77,7324,10100000.0
132,31743,2.81,80969,10100000.0
133,31743,2.7,97258,10000000.0
134,31743,4.03,69645,9980000.0
135,31743,4.42,29923,9950000.0
136,31743,4.47,5723,9910000.0
137,31743,3.94,17091,9790000.0
138,31743,3.87,25798,9700000.0
139,31743,3.65,16073,9680000.0
140,31743,3.03,4004,9570000.0
141,31743,3.78,35118,9530000.0
142,31743,3.35,83198,9490000.0
143,31743,3.66,9631,9380000.0
144,31743,3.59,79466,9380000.0
145,31743,3.07,84230,9080000.0
146,31743,5.47,103343,9080000.0
147,31743,4.64,8969,9050000.0
148,31743,4.69,36498,8950000.0
149,31743,5.31,102625,8950000.0
150,31743,4.55,6482,8900000.0
151,31743,3.61,1531,8850000.0
152,31743,2.92,77050,8800000.0
153,31743,3.21,25685,8760000.0
154,31743,3.15,41082,8690000.0
155,31743,2.87,353,8660000.0
156,31743,2.29,27072,8640000.0
157,31743,2.74,7,8610000.0
158,31743,2.87,2283,8600000.0
159,31743,2.08,4018,8590000.0
160,31743,1.66,47194,8500000.0
161,31743,2.27,1564,8460000.0
162,31743,1.88,102804,8410000.0
163,31743,3.27,45231,8340000.0
164,31743,3.7,100914,8340000.0
165,31743,3.23,21180,8240000.0
166,31743,4.05,942,8220000.0
167,31743,2.93,6416,8140000.0
168,31743,3.26,116207,8090000.0
169,31743,40.11,1,8060000.0
170,31743,28.29,68209,8010000.0
171,31743,20.87,36415,8010000.0
172,31743,15.04,12490,7990000.0
173,31743,10.7,86465,7830000.0
174,31743,9.29,9269,7780000.0
175,31743,7.77,591,7760000.0
176,31743,5.74,37381,7750000.0
177,31743,4.49,46261,7650000.0
178,31743,4.95,19662,7520000.0
179,31743,5.0,38313,7450000.0
180,31743,4.43,21439,7420000.0
181,31743,3.6,6021,7350000.0
182,31743,3.54,23843,7270000.0
183,31743,4.03,71387,7260000.0
184,31743,3.38,33276,7220000.0
185,31743,4.09,11554,7170000.0
186,31743,3.98,3822,7140000.0
187,31743,3.45,13658,7130000.0
188,31743,2.61,5149,7080000.0
189,31743,2.26,13675,7080000.0
190,31743,1.81,41795,6990000.0
191,31743,3.02,71429,6990000.0
192,31743,2.94,35481,6940000.0
193,31743,3.03,21103,6900000.0
194,31743,2.81,51290,6890000.0
195,31743,2.74,1051,6850000.0
196,31743,2.58,1153,6810000.0
197,31743,2.25,11153,6810000.0
198,31743,1.69,42933,6700000.0
199,31743,2.68,5652,6700000.0
200,31743,2.28,2814,6590000.0
201,31743,3.08,38356,6550000.0
202,31743,2.84,37872,6490000.0
203,31743,4.63,496,6490000.0
204,31743,3.36,9988,6480000.0
205,31743,2.48,75277,6450000.0
206,31743,2.69,25037,6420000.0
207,31743,2.56,17873,6410000.0
208,31743,1.94,11978,6380000.0
209,31743,2.26,50347,6370000.0
210,31743,2.1,10510,6340000.0
211,31743,2.5,24525,6330000.0
212,31743,2.0,34101,6270000.0
213,31743,3.2,17392,6230000.0
214,31743,2.84,82787,6210000.0
215,31743,3.36,42592,6150000.0
216,31743,5.05,3415,6010000.0
217,31743,6.99,254,5950000.0
218,31743,5.72,987,5870000.0
219,31743,5.97,1724,5830000.0
220,31743,4.7,10825,5770000.0
221,31743,4.35,1716,5770000.0
222,31743,4.35,32098,5750000.0
223,31743,2.96,445,5730000.0
224,31743,2.49,231,5720000.0
225,31743,2.63,869,5710000.0
226,31743,1.99,32855,5680000.0
227,31743,2.41,33969,5570000.0
228,31743,4.47,24461,5570000.0
229,31743,3.55,1920,5510000.0
230,31743,4.04,41681,5500000.0
231,31743,3.44,3209,5420000.0
232,31743,4.36,18439,5410000.0
233,31743,3.48,386,5410000.0
234,31743,3.48,3827,5300000.0
235,31743,3.73,18137,5250000.0
236,31743,3.62,37241,5210000.0
237,31743,3.82,3455,5200000.0
238,31743,2.99,19296,5190000.0
239,31743,2.6,2213,5170000.0
240,31743,2.09,37529,5130000.0
241,31743,2.24,250,5130000.0
242,31743,1.72,22412,5040000.0
243,31743,3.45,18476,5020000.0
244,31743,3.11,31986,4990000.0
245,31743,2.99,15785,4990000.0
246,31743,2.45,18418,4910000.0
247,31743,3.16,28890,4910000.0
248,31743,2.53,21996,4860000.0
249,31743,3.71,396,4850000.0
250,31743,3.31,20420,4840000.0
251,31743,2.69,10644,4810000.0
252,31743,3.16,18536,4810000.0
253,31743,2.64,8336,4790000.0
254,31743,2.3,4435,4780000.0
255,31743,1.82,2166,4770000.0
256,31743,1.4,18791,4750000.0
257,31743,2.07,33782,4690000.0
258,31743,3.26,6498,4680000.0
259,31743,2.59,336,4540000.0
260,31743,4.95,9853,4520000.0
261,31743,4.0,64419,4490000.0
